person,platform,rank,title,url,view_count,like_count,upload_date,duration,profile_url,status,scope,note
Pranjal Kamra,YouTube,3,Investment Plan for ₹5000/month,https://www.youtube.com/watch?v=3oVoV8nMuKs,80491,3032,20260228,893,https://www.youtube.com/@PranjalKamra/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Investing education channel.
CA Rachana Ranade,YouTube,1,OnEMI Tech. Solutions Ltd| IPO Summary |Top things you need to know about this IPO|CA Rachana Ranade,https://www.youtube.com/watch?v=wNnnyXKZUnY,113339,163,20260504,956,https://www.youtube.com/@CARachanaRanade/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Chartered accountant and stock-market education creator.
CA Rachana Ranade,YouTube,2,⁠Petrodollar & De-Dollarization: Is the Dollar in Danger? | CA Rachana Ranade,https://www.youtube.com/watch?v=smxMmWnenjM,57191,3196,20260418,1063,https://www.youtube.com/@CARachanaRanade/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Chartered accountant and stock-market education creator.
CA Rachana Ranade,YouTube,3,Personal Finance in 50s: Retirement Planning & Money Mistakes to Avoid | CA Rachana Ranade,https://www.youtube.com/watch?v=XGUjllUgh3o,55882,876,20260424,1129,https://www.youtube.com/@CARachanaRanade/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Chartered accountant and stock-market education creator.
Graham Stephan,YouTube,1,BREAKING: The FED Cancels ALL Rate Cuts - Stock Market Melt-Up Has Begun!,https://www.youtube.com/watch?v=BJfhJA6VvJ4,397682,10283,20260429,1041,https://www.youtube.com/@GrahamStephan/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Personal finance and real-estate creator.
Graham Stephan,YouTube,2,Stock Market Just Hit ANOTHER Record - WTF Just Happened?!,https://www.youtube.com/watch?v=0xYAaI-wthM,292279,8270,20260504,991,https://www.youtube.com/@GrahamStephan/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Personal finance and real-estate creator.
Graham Stephan,YouTube,3,It Started: Trump Just 'Reset' Your 401K,https://www.youtube.com/watch?v=JQ0_f_zyUM4,211613,5809,20260511,967,https://www.youtube.com/@GrahamStephan/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Personal finance and real-estate creator.
Thai Pham,YouTube,1,"CÚ LỪA MANG TÊN ĐÀM PHÁN HÒA BÌNH MỸ - IRAN LẦN 2: CHỨNG KHOÁN, DẦU & VÀNG SẼ RA SAO?",https://www.youtube.com/watch?v=WLJmnKjJcFE,40614,1420,20260426,2338,https://www.youtube.com/@thaiphamofficialvn/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese finance/investing creator.
Thai Pham,YouTube,2,POWELL NÓI SỰ THẬT: ĐỪNG MƠ LÃI SUẤT GIẢM NĂM 2026. KỊCH BẢN GIÁ VÀNG? BITCOIN? CHỨNG KHOÁN?,https://www.youtube.com/watch?v=Hqmx5SzsHHQ,39143,2188,20260430,1375,https://www.youtube.com/@thaiphamofficialvn/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese finance/investing creator.
Thai Pham,YouTube,3,"THỊ TRƯỜNG 'XANH VỎ ĐỎ LÒNG': TẠI SAO VN-INDEX PHÁ ĐỈNH 1,915 ĐIỂM NHƯNG TÀI KHOẢN ĐA SỐ VẪN LỖ?",https://www.youtube.com/watch?v=NAm4m7K_AU4,23705,1475,20260510,2398,https://www.youtube.com/@thaiphamofficialvn/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese finance/investing creator.
Hieu TV,YouTube,1,Tầm nhìn cho cuộc sống,https://www.youtube.com/watch?v=9BIaI8G3mRU,409933,13078,20240609,1260,https://www.youtube.com/@hieu-tv/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese personal-finance podcast/channel.
Hieu TV,YouTube,2,Tiêu tiền thế nào cho hợp lý?,https://www.youtube.com/watch?v=a7kg3MTeT28,311351,10522,20240519,1310,https://www.youtube.com/@hieu-tv/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese personal-finance podcast/channel.
Hieu TV,YouTube,3,Chia tay Podcast Hieu TV,https://www.youtube.com/watch?v=76qDG_GaW68,309416,12496,20240714,1140,https://www.youtube.com/@hieu-tv/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Vietnamese personal-finance podcast/channel.
Erika Kullberg,YouTube,1,Marketing Expert Reveals Secret For Building an Audience That Buys | Seth Godin,https://www.youtube.com/watch?v=zglDZqfHPo4,292301,9023,20240625,3318,https://www.youtube.com/@Erika2/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also very large on TikTok/Instagram; YouTube metadata is used where accessible.
Erika Kullberg,YouTube,2,This Single Skill Made Him A Billionaire In Under 1 Year | Ankur Jain,https://www.youtube.com/watch?v=KZVWlWg5ZJU,179969,3341,20240521,3994,https://www.youtube.com/@Erika2/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also very large on TikTok/Instagram; YouTube metadata is used where accessible.
Erika Kullberg,YouTube,3,"Meet The School Teacher Now Making $20,000,000 | Teri Ijeoma",https://www.youtube.com/watch?v=CHa1h_9M_Zs,154156,4182,20240528,2147,https://www.youtube.com/@Erika2/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also very large on TikTok/Instagram; YouTube metadata is used where accessible.
Mark Tilbury,YouTube,1,The AI Bubble Is On The Verge Of Collapse,https://www.youtube.com/watch?v=C6eXTvqdaro,5795902,138948,20251101,907,https://www.youtube.com/@MarkTilbury/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Mark Tilbury,YouTube,2,You'll Wish You Found This Video Before Getting Rich,https://www.youtube.com/watch?v=PyGXqrtYPHQ,2270286,86987,20251004,760,https://www.youtube.com/@MarkTilbury/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Mark Tilbury,YouTube,3,I'm Changing How I Invest My Money Because of AI,https://www.youtube.com/watch?v=O8t50OxsfB8,2238351,59483,20260306,1192,https://www.youtube.com/@MarkTilbury/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Humphrey Yang,YouTube,1,10 Things That Are No Longer Worth Your Money,https://www.youtube.com/watch?v=iaYdIU5n6vw,706963,13560,20260423,1051,https://www.youtube.com/@humphrey/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Humphrey Yang,YouTube,2,Japan’s Debt Bomb Is About To Wreck The US Dollar,https://www.youtube.com/watch?v=IbQ_W1mn2mc,684136,10424,20260312,843,https://www.youtube.com/@humphrey/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Humphrey Yang,YouTube,3,Every Financial Trap You'll Face As Your Net Worth Grows,https://www.youtube.com/watch?v=SqFKiYMqdjU,406650,6741,20260326,848,https://www.youtube.com/@humphrey/videos,metadata_collected,top_by_view_within_latest_10_youtube_videos,Also large on TikTok; YouTube metadata is used where accessible.
Tatiana London,TikTok,,,https://www.tiktok.com/@tatlondono,,,,,https://www.tiktok.com/@tatlondono,manual_verification_required,profile_link_only_no_reliable_public_top_by_view_extraction,TikTok profile. Public top-by-view extraction often requires browser/session access.
Vivian Tu / Your Rich BFF,TikTok,,,https://www.tiktok.com/@yourrichbff,,,,,https://www.tiktok.com/@yourrichbff,manual_verification_required,profile_link_only_no_reliable_public_top_by_view_extraction,TikTok profile. Public top-by-view extraction often requires browser/session access.
Bàn Luận Tài Chính,TikTok,,,https://www.tiktok.com/@banluantaichinh,,,,,https://www.tiktok.com/@banluantaichinh,manual_verification_required,profile_link_only_no_reliable_public_top_by_view_extraction,Vietnamese TikTok finance/current-affairs account. Requires manual verification if TikTok blocks scraping.
